ID,SUBID,POS,SP,ARAB_V,ARAB_U,ARAB_T,LEMMA_V,LEMMA_U,LEMMA_T,GEN,NUM,CASE,PER,DEF,RAT,TYPE,TENSE,PROC_V,PROC_U,PROC_T,STEM_V,STEM_U,STEM_T,ENC_V,ENC_U,ENC_T,ROOT,BW,IPA
V0000034,0,V,T,فَكَتَبَهَا,فكتبها,fakatábaha̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,فَ,ف,fa,كَتَبَ,كتب,kátaba,هَا,ها,ha̱,ك-ت-ب,fakatabahaA,
V0000035,0,V,T,فَكَتَبَهُ,فكتبه,fakatábahu,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,فَ,ف,fa,كَتَبَ,كتب,kátaba,هُ,ه,hu,ك-ت-ب,fakatabahu,
V0000036,0,V,T,فَكَتَبَهُمْ,فكتبهم,fakatábahum,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,فَ,ف,fa,كَتَبَ,كتب,kátaba,هُمْ,هم,hum,ك-ت-ب,fakatabahumo,
V0000037,0,V,T,فَكَتَبَهُمَا,فكتبهما,fakatabáhuma̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,فَ,ف,fa,كَتَبَ,كتب,kátaba,هُمَا,هما,húma̱,ك-ت-ب,fakatabahumaA,
V0000038,0,V,T,فَكَتَبَهُنَّ,فكتبهن,fakatabahúnna,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,فَ,ف,fa,كَتَبَ,كتب,kátaba,هُنَّ,هن,húnna,ك-ت-ب,fakatabahun~a,
V0000039,0,V,T,فَكَتَبَكُنَّ,فكتبكن,fakatabakúnna,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,فَ,ف,fa,كَتَبَ,كتب,kátaba,كُنَّ,كن,kúnna,ك-ت-ب,fakatabakun~a,
V0000040,0,V,T,أَكَتَبَ,أكتب,ʾakátaba,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَ,أ,ʾa,كَتَبَ,كتب,kátaba,,,,ك-ت-ب,>akataba,
V0000041,0,V,T,أَكَتَبَنِي,أكتبني,ʾakatábani̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَ,أ,ʾa,كَتَبَ,كتب,kátaba,نِي,ني,ni̱,ك-ت-ب,>akatabaniy,
V0000042,0,V,T,أَكَتَبَنَا,أكتبنا,ʾakatábana̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَ,أ,ʾa,كَتَبَ,كتب,kátaba,نَا,نا,na̱,ك-ت-ب,>akatabanaA,
V0000043,0,V,T,أَكَتَبَكَ,أكتبك,ʾakatábaka,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَ,أ,ʾa,كَتَبَ,كتب,kátaba,كَ,ك,ka,ك-ت-ب,>akatabaka,
V0000044,0,V,T,أَكَتَبَكِ,أكتبك,ʾakatábaki,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَ,أ,ʾa,كَتَبَ,كتب,kátaba,كِ,ك,ki,ك-ت-ب,>akatabaki,
V0000045,0,V,T,أَكَتَبَكُمْ,أكتبكم,ʾakatábakum,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَ,أ,ʾa,كَتَبَ,كتب,kátaba,كُمْ,كم,kum,ك-ت-ب,>akatabakumo,
V0000046,0,V,T,أَكَتَبَكُمَا,أكتبكما,ʾakatabákuma̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَ,أ,ʾa,كَتَبَ,كتب,kátaba,كُمَا,كما,kúma̱,ك-ت-ب,>akatabakumaA,
V0000047,0,V,T,أَكَتَبَهَا,أكتبها,ʾakatábaha̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَ,أ,ʾa,كَتَبَ,كتب,kátaba,هَا,ها,ha̱,ك-ت-ب,>akatabahaA,
V0000048,0,V,T,أَكَتَبَهُ,أكتبه,ʾakatábahu,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَ,أ,ʾa,كَتَبَ,كتب,kátaba,هُ,ه,hu,ك-ت-ب,>akatabahu,
V0000049,0,V,T,أَكَتَبَهُمْ,أكتبهم,ʾakatábahum,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَ,أ,ʾa,كَتَبَ,كتب,kátaba,هُمْ,هم,hum,ك-ت-ب,>akatabahumo,
V0000050,0,V,T,أَكَتَبَهُمَا,أكتبهما,ʾakatabáhuma̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَ,أ,ʾa,كَتَبَ,كتب,kátaba,هُمَا,هما,húma̱,ك-ت-ب,>akatabahumaA,
V0000051,0,V,T,أَكَتَبَهُنَّ,أكتبهن,ʾakatabahúnna,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَ,أ,ʾa,كَتَبَ,كتب,kátaba,هُنَّ,هن,húnna,ك-ت-ب,>akatabahun~a,
V0000052,0,V,T,أَكَتَبَكُنَّ,أكتبكن,ʾakatabakúnna,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَ,أ,ʾa,كَتَبَ,كتب,kátaba,كُنَّ,كن,kúnna,ك-ت-ب,>akatabakun~a,
V0000053,0,V,T,أَوَكَتَبَ,أوكتب,ʾawakátaba,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَوَ,أو,ʾáwa,كَتَبَ,كتب,kátaba,,,,ك-ت-ب,>awakataba,
V0000054,0,V,T,أَوَكَتَبَنِي,أوكتبني,ʾawakatábani̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَوَ,أو,ʾáwa,كَتَبَ,كتب,kátaba,نِي,ني,ni̱,ك-ت-ب,>awakatabaniy,
V0000055,0,V,T,أَوَكَتَبَنَا,أوكتبنا,ʾawakatábana̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَوَ,أو,ʾáwa,كَتَبَ,كتب,kátaba,نَا,نا,na̱,ك-ت-ب,>awakatabanaA,
V0000056,0,V,T,أَوَكَتَبَكَ,أوكتبك,ʾawakatábaka,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَوَ,أو,ʾáwa,كَتَبَ,كتب,kátaba,كَ,ك,ka,ك-ت-ب,>awakatabaka,
V0000057,0,V,T,أَوَكَتَبَكِ,أوكتبك,ʾawakatábaki,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَوَ,أو,ʾáwa,كَتَبَ,كتب,kátaba,كِ,ك,ki,ك-ت-ب,>awakatabaki,
V0000058,0,V,T,أَوَكَتَبَكُمْ,أوكتبكم,ʾawakatábakum,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَوَ,أو,ʾáwa,كَتَبَ,كتب,kátaba,كُمْ,كم,kum,ك-ت-ب,>awakatabakumo,
V0000059,0,V,T,أَوَكَتَبَكُمَا,أوكتبكما,ʾawakatabákuma̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَوَ,أو,ʾáwa,كَتَبَ,كتب,kátaba,كُمَا,كما,kúma̱,ك-ت-ب,>awakatabakumaA,
V0000060,0,V,T,أَوَكَتَبَهَا,أوكتبها,ʾawakatábaha̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَوَ,أو,ʾáwa,كَتَبَ,كتب,kátaba,هَا,ها,ha̱,ك-ت-ب,>awakatabahaA,
V0000061,0,V,T,أَوَكَتَبَهُ,أوكتبه,ʾawakatábahu,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَوَ,أو,ʾáwa,كَتَبَ,كتب,kátaba,هُ,ه,hu,ك-ت-ب,>awakatabahu,
V0000062,0,V,T,أَوَكَتَبَهُمْ,أوكتبهم,ʾawakatábahum,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَوَ,أو,ʾáwa,كَتَبَ,كتب,kátaba,هُمْ,هم,hum,ك-ت-ب,>awakatabahumo,
V0000063,0,V,T,أَوَكَتَبَهُمَا,أوكتبهما,ʾawakatabáhuma̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَوَ,أو,ʾáwa,كَتَبَ,كتب,kátaba,هُمَا,هما,húma̱,ك-ت-ب,>awakatabahumaA,
V0000064,0,V,T,أَوَكَتَبَهُنَّ,أوكتبهن,ʾawakatabahúnna,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَوَ,أو,ʾáwa,كَتَبَ,كتب,kátaba,هُنَّ,هن,húnna,ك-ت-ب,>awakatabahun~a,
V0000065,0,V,T,أَوَكَتَبَكُنَّ,أوكتبكن,ʾawakatabakúnna,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَوَ,أو,ʾáwa,كَتَبَ,كتب,kátaba,كُنَّ,كن,kúnna,ك-ت-ب,>awakatabakun~a,
V0000066,0,V,T,أَفَكَتَبَ,أفكتب,ʾafakátaba,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَفَ,أف,ʾáfa,كَتَبَ,كتب,kátaba,,,,ك-ت-ب,>afakataba,
V0000067,0,V,T,أَفَكَتَبَنِي,أفكتبني,ʾafakatábani̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَفَ,أف,ʾáfa,كَتَبَ,كتب,kátaba,نِي,ني,ni̱,ك-ت-ب,>afakatabaniy,
V0000068,0,V,T,أَفَكَتَبَنَا,أفكتبنا,ʾafakatábana̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَفَ,أف,ʾáfa,كَتَبَ,كتب,kátaba,نَا,نا,na̱,ك-ت-ب,>afakatabanaA,
V0000069,0,V,T,أَفَكَتَبَكَ,أفكتبك,ʾafakatábaka,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَفَ,أف,ʾáfa,كَتَبَ,كتب,kátaba,كَ,ك,ka,ك-ت-ب,>afakatabaka,
V0000070,0,V,T,أَفَكَتَبَكِ,أفكتبك,ʾafakatábaki,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَفَ,أف,ʾáfa,كَتَبَ,كتب,kátaba,كِ,ك,ki,ك-ت-ب,>afakatabaki,
V0000071,0,V,T,أَفَكَتَبَكُمْ,أفكتبكم,ʾafakatábakum,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَفَ,أف,ʾáfa,كَتَبَ,كتب,kátaba,كُمْ,كم,kum,ك-ت-ب,>afakatabakumo,
V0000072,0,V,T,أَفَكَتَبَكُمَا,أفكتبكما,ʾafakatabákuma̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَفَ,أف,ʾáfa,كَتَبَ,كتب,kátaba,كُمَا,كما,kúma̱,ك-ت-ب,>afakatabakumaA,
V0000073,0,V,T,أَفَكَتَبَهَا,أفكتبها,ʾafakatábaha̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَفَ,أف,ʾáfa,كَتَبَ,كتب,kátaba,هَا,ها,ha̱,ك-ت-ب,>afakatabahaA,
V0000074,0,V,T,أَفَكَتَبَهُ,أفكتبه,ʾafakatábahu,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَفَ,أف,ʾáfa,كَتَبَ,كتب,kátaba,هُ,ه,hu,ك-ت-ب,>afakatabahu,
V0000075,0,V,T,أَفَكَتَبَهُمْ,أفكتبهم,ʾafakatábahum,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَفَ,أف,ʾáfa,كَتَبَ,كتب,kátaba,هُمْ,هم,hum,ك-ت-ب,>afakatabahumo,
V0000076,0,V,T,أَفَكَتَبَهُمَا,أفكتبهما,ʾafakatabáhuma̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَفَ,أف,ʾáfa,كَتَبَ,كتب,kátaba,هُمَا,هما,húma̱,ك-ت-ب,>afakatabahumaA,
V0000077,0,V,T,أَفَكَتَبَهُنَّ,أفكتبهن,ʾafakatabahúnna,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَفَ,أف,ʾáfa,كَتَبَ,كتب,kátaba,هُنَّ,هن,húnna,ك-ت-ب,>afakatabahun~a,
V0000078,0,V,T,أَفَكَتَبَكُنَّ,أفكتبكن,ʾafakatabakúnna,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,أَفَ,أف,ʾáfa,كَتَبَ,كتب,kátaba,كُنَّ,كن,kúnna,ك-ت-ب,>afakatabakun~a,
V0000079,0,V,T,كَتَبَا,كتبا,kátaba̱,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,,,,كَتَبَا,كتبا,kátaba̱,,,,ك-ت-ب,katabaA,
V0000080,0,V,T,كَتَبَانِي,كتباني,katabā́ni̱,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,,,,كَتَبَا,كتبا,kátaba̱,نِي,ني,ni̱,ك-ت-ب,katabaAniy,
V0000081,0,V,T,كَتَبَانَا,كتبانا,katabā́na̱,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,,,,كَتَبَا,كتبا,kátaba̱,نَا,نا,na̱,ك-ت-ب,katabaAnaA,
V0000082,0,V,T,كَتَبَاكَ,كتباك,katabā́ka,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,,,,كَتَبَا,كتبا,kátaba̱,كَ,ك,ka,ك-ت-ب,katabaAka,
V0000083,0,V,T,كَتَبَاكِ,كتباك,katabā́ki,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,,,,كَتَبَا,كتبا,kátaba̱,كِ,ك,ki,ك-ت-ب,katabaAki,
V0000084,0,V,T,كَتَبَاكُمْ,كتباكم,katabā́kum,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,,,,كَتَبَا,كتبا,kátaba̱,كُمْ,كم,kum,ك-ت-ب,katabaAkumo,
V0000085,0,V,T,كَتَبَاكُمَا,كتباكما,katabā́kuma̱,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,,,,كَتَبَا,كتبا,kátaba̱,كُمَا,كما,kúma̱,ك-ت-ب,katabaAkumaA,
V0000086,0,V,T,كَتَبَاهَا,كتباها,katabā́ha̱,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,,,,كَتَبَا,كتبا,kátaba̱,هَا,ها,ha̱,ك-ت-ب,katabaAhaA,
V0000087,0,V,T,كَتَبَاهُ,كتباه,katabā́hu,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,,,,كَتَبَا,كتبا,kátaba̱,هُ,ه,hu,ك-ت-ب,katabaAhu,
V0000088,0,V,T,كَتَبَاهُمْ,كتباهم,katabā́hum,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,,,,كَتَبَا,كتبا,kátaba̱,هُمْ,هم,hum,ك-ت-ب,katabaAhumo,
V0000089,0,V,T,كَتَبَاهُمَا,كتباهما,katabā́huma̱,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,,,,كَتَبَا,كتبا,kátaba̱,هُمَا,هما,húma̱,ك-ت-ب,katabaAhumaA,
V0000090,0,V,T,كَتَبَاهُنَّ,كتباهن,katabāhúnna,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,,,,كَتَبَا,كتبا,kátaba̱,هُنَّ,هن,húnna,ك-ت-ب,katabaAhun~a,
V0000091,0,V,T,كَتَبَاكُنَّ,كتباكن,katabākúnna,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,,,,كَتَبَا,كتبا,kátaba̱,كُنَّ,كن,kúnna,ك-ت-ب,katabaAkun~a,
V0000092,0,V,T,وَكَتَبَا,وكتبا,wakátaba̱,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,وَ,و,wa,كَتَبَا,كتبا,kátaba̱,,,,ك-ت-ب,wakatabaA,
V0000093,0,V,T,وَكَتَبَانِي,وكتباني,wakatabā́ni̱,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,وَ,و,wa,كَتَبَا,كتبا,kátaba̱,نِي,ني,ni̱,ك-ت-ب,wakatabaAniy,
V0000094,0,V,T,وَكَتَبَانَا,وكتبانا,wakatabā́na̱,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,وَ,و,wa,كَتَبَا,كتبا,kátaba̱,نَا,نا,na̱,ك-ت-ب,wakatabaAnaA,
V0000095,0,V,T,وَكَتَبَاكَ,وكتباك,wakatabā́ka,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,وَ,و,wa,كَتَبَا,كتبا,kátaba̱,كَ,ك,ka,ك-ت-ب,wakatabaAka,
V0000096,0,V,T,وَكَتَبَاكِ,وكتباك,wakatabā́ki,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,وَ,و,wa,كَتَبَا,كتبا,kátaba̱,كِ,ك,ki,ك-ت-ب,wakatabaAki,
V0000097,0,V,T,وَكَتَبَاكُمْ,وكتباكم,wakatabā́kum,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,وَ,و,wa,كَتَبَا,كتبا,kátaba̱,كُمْ,كم,kum,ك-ت-ب,wakatabaAkumo,
V0000098,0,V,T,وَكَتَبَاكُمَا,وكتباكما,wakatabā́kuma̱,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,وَ,و,wa,كَتَبَا,كتبا,kátaba̱,كُمَا,كما,kúma̱,ك-ت-ب,wakatabaAkumaA,
V0000099,0,V,T,وَكَتَبَاهَا,وكتباها,wakatabā́ha̱,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,وَ,و,wa,كَتَبَا,كتبا,kátaba̱,هَا,ها,ha̱,ك-ت-ب,wakatabaAhaA,
V0000100,0,V,T,وَكَتَبَاهُ,وكتباه,wakatabā́hu,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,وَ,و,wa,كَتَبَا,كتبا,kátaba̱,هُ,ه,hu,ك-ت-ب,wakatabaAhu,
V0000101,0,V,T,وَكَتَبَاهُمْ,وكتباهم,wakatabā́hum,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,وَ,و,wa,كَتَبَا,كتبا,kátaba̱,هُمْ,هم,hum,ك-ت-ب,wakatabaAhumo,
V0000102,0,V,T,وَكَتَبَاهُمَا,وكتباهما,wakatabā́huma̱,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,وَ,و,wa,كَتَبَا,كتبا,kátaba̱,هُمَا,هما,húma̱,ك-ت-ب,wakatabaAhumaA,
V0000103,0,V,T,وَكَتَبَاهُنَّ,وكتباهن,wakatabāhúnna,كَتَبَ,كتب,kátaba,-,-,-,3DM,-,-,S1,1,وَ,و,wa,كَتَبَا,كتبا,kátaba̱,هُنَّ,هن,húnna,ك-ت-ب,wakatabaAhun~a,
